,sample,Area.20.,Perimeter.20.,Ix.20.,Iy.20.,Ixy.20.,Imin.20.,Imax.20.,Theta.20.,Area.80.,Perimeter.80.,Ix.80.,Iy.80.,Ixy.80.,Imin.80.,Imax.80.,Theta.80.
11,ID_007-Tibia_R,753.532799309498,105.245329950933,45112.4000373797,58375.0896953656,22255.8784778188,28520.9357972602,74966.5539354851,-53.2959560551385,476.11042778766,79.2674817534204,16721.8056640984,20337.2952785303,2043.82064179533,15800.971334869,21258.1296077597,-65.7462652558894
12,ID_008-Tibia_L,1034.63526901835,129.903932328459,123777.238195232,66301.2669613824,-19156.2873768941,60501.8067638766,129576.698392737,16.843398281772,439.861305309406,76.08696603813,15483.9037272026,16156.1502083005,-2447.92353478,13349.1347270888,18290.9192084142,48.909182923542
13,ID_008-Tibia_R,901.953080169863,111.683074332678,72301.9133771332,65645.0643535679,18758.413744328,49922.0717019469,88024.9060287542,-39.9691830192814,420.028081027003,74.3205585629646,13362.5071197273,15473.275553995,2099.98625830981,12067.6194098567,16768.1632638656,-58.3413010761854
14,ID_009-Tibia_L,852.546328694245,109.057537587949,67578.505177918,59418.3854335747,-23658.4448407977,39490.7611016092,87506.1295098835,40.1075997893819,517.352594732885,82.7086772582321,19586.2788319182,24100.5426708438,-1052.48825279647,19352.9537603586,24333.8677424034,77.5003090764265
15,ID_009-Tibia_R,870.969389682486,111.250256736285,72744.569899651,61442.6251605908,25952.9210452073,40532.5809927225,93654.6140675194,-38.8580927735019,532.067381507635,84.1203466398231,21947.7816834067,24102.994951483,707.093923575852,21736.505904468,24314.2707304217,-73.364143534037
16,ID_010-Tibia_L,770.526580106412,104.634564485802,56152.9760933848,48050.1294970153,-19603.5986010622,32083.6830570725,72119.4225333276,39.161612976271,399.149789746081,73.1948161010185,12822.4559221336,13168.4182999086,639.753589296689,12332.7100580597,13658.1641639825,-52.565125620147
17,ID_010-Tibia_R,786.022917890075,105.086077882283,60163.7078437871,46253.0917422186,16372.8156648158,35419.4874351508,70997.3121508549,-33.4919058292338,400.363938449686,72.9352463266413,12707.3611563558,13318.9505554833,-96.2294437477076,12692.5774659347,13333.7342459044,81.2659591800956
18,ID_011-Tibia_L,794.190060430887,106.357883772227,55938.777462915,53552.3443310899,-18014.4947067258,36691.5922110924,72799.5295829124,43.1052325832869,464.528787667823,79.0074276218379,16777.2608822802,18724.7418610792,-1896.3639111453,15619.2493635441,19882.7533798153,58.5897425648209
19,ID_011-Tibia_R,791.560818581696,105.684044534626,55443.2365838633,51723.8441165648,14909.4329299688,38558.5724509243,68608.5082495038,-41.4450272878689,467.492584071495,79.1584156672192,16429.5345067175,19395.4100540715,921.420775113387,16166.5854898469,19658.3590709421,-74.0726608228692
20,ID_012-Tibia_L,685.335934716261,99.0285328911886,41777.1454865947,41033.4100650964,-16492.8837355033,24908.2022923811,57902.3532593101,44.354180831753,324.506586174742,65.2998971285179,8241.33645939155,9153.03444430773,-1954.67847478983,6690.05659606291,10704.3143076364,51.5636383671131
21,ID_012-Tibia_R,694.604143074852,100.03701264027,42177.8106694416,44463.2036667547,18318.3226134539,24966.5784698979,61674.4358662985,-46.7847420657043,314.135142167701,64.6579996974288,7197.62227405162,9347.83469655958,2069.97567379715,5940.20781967607,10605.2491509351,-58.7232555628685
22,ID_013-Tibia_L,662.196115267999,97.5542824109424,38755.0695827597,38683.2339781788,-13515.5255440043,25203.5785103799,52234.7250505586,44.9238677908132,392.304400272236,71.3732722017901,11256.7640424488,13631.5023137498,-92.5862903929449,11253.1597588056,13635.106597393,87.7706632866989
23,ID_013-Tibia_R,688.55230164653,99.7523103378274,43270.88135698,41590.4001400908,16443.4108849996,25965.776163213,58895.5053338578,-43.5373957661138,399.205460636197,72.305994882018,11536.9996141552,14353.6093388877,761.401878483482,11344.3499468978,14546.2590061451,-75.8010344759927
24,ID_014-Tibia_L,1127.22232021884,126.86317090793,137803.060294745,87906.5905396379,-38258.0891270444,67181.0275987654,158528.623235617,28.4457437513385,552.120129685212,85.0323459549497,22537.5872547717,26949.2131746819,346.033482386231,22510.610483194,26976.1899462596,-85.5422372987001
25,ID_014-Tibia_R,1109.24040065068,124.384000388752,124229.897152903,91349.1710904631,38390.5982571099,66026.8286162071,149552.239627159,-33.4087439931408,555.944418217968,85.3022092129549,23640.5877468524,26448.6559168873,-1394.32416604872,23065.8718244363,27023.3718393034,67.5994038456956
26,ID_016-Tibia_L,1032.57655624108,120.657257792391,91939.6346675859,94088.8197157018,-33794.8991452121,59202.2476972721,126826.206686016,45.9106237903914,546.998755906111,84.8803160937367,22443.2242366725,26241.0833896574,-1601.89821364021,21857.8004922097,26826.5071341202,69.9248523153791
27,ID_016-Tibia_R,1033.57208135644,121.262749791157,89421.7454242149,98540.3113585156,35410.0444177825,58278.6712304735,129683.385552257,-48.6684265219034,534.924917949951,84.0617236875934,21515.2482707476,25069.1243646655,744.790537886824,21365.4736333512,25218.899002062,-78.6296816350644
28,ID_017-Tibia_L,838.892005753992,112.35509834257,64504.6629873215,65165.3642333492,-27051.8687084165,37781.1278977149,91888.8993229558,45.3498234423424,392.056046373937,72.5384320414844,12044.3452533294,13088.145920033,-285.137359122484,11971.5328228027,13160.9583505597,75.6751290014085
